X,Y,Z,Name
116.4136147,40.0684199,0,点92
116.4149879,40.0696514,0,点93
116.4141726,40.0703904,0,点94
116.4140438,40.0696186,0,点95
116.4105891,40.056842,0,点96
116.4129495,40.0565464,0,点97
116.4066838,40.0598968,0,点98
116.4081859,40.068387,0,点99
116.4115118,40.0687647,0,点100
116.407585,40.0695858,0,点101
116.4111899,40.0703904,0,点102
116.4065336,40.0692738,0,点103
116.4067911,40.0712278,0,点104
116.4100527,40.0713756,0,点105
116.4084219,40.0726235,0,点106
116.4064049,40.0726071,0,点107
116.4104818,40.0727482,0,点108
116.4113187,40.0721243,0,点109
116.4072739,40.0592907,0,点110
116.407982,40.0587652,0,点111
116.4066731,40.0584367,0,点112
116.4098488,40.0697351,0,点113
116.4175736,40.0703098,0,点114
116.4174019,40.0693574,0,点115
116.418904,40.0703591,0,点116
116.418904,40.0694888,0,点117
116.4204918,40.0704083,0,点118
116.4205777,40.0695873,0,点119
116.4112865,40.0698829,0,点120
116.4151274,40.0729535,0,点121
116.4143764,40.0721653,0,点122
116.4157926,40.0715578,0,点123
116.4175521,40.0730027,0,点124
116.417638,40.0719518,0,点125
116.4189469,40.0728221,0,点126
116.4189254,40.0718369,0,点127
116.4272295,40.0689469,0,点128
116.415342,40.0752194,0,点129
116.4166724,40.0749895,0,点130
116.4187323,40.0751209,0,点131
116.4202343,40.0750552,0,点132
116.4202343,40.0768941,0,点133
116.4185505,40.0771512,0,点134
116.4178853,40.0762482,0,点135
116.4152889,40.0769706,0,点136
116.4167909,40.0783169,0,点137
116.4201598,40.0789737,0,点138
116.4153533,40.0782184,0,点139
116.4229708,40.073621,0,点140
116.424387,40.0737688,0,点141
116.424387,40.0729807,0,点142
116.4220266,40.0723567,0,点143
116.4266186,40.0738017,0,点144
116.4275627,40.0734076,0,点145
116.4257173,40.0727836,0,点146
116.4273481,40.0725537,0,点147
116.4275627,40.0715685,0,点148
116.4291935,40.0728821,0,点149
116.4311676,40.0726851,0,点150
116.4306526,40.0716014,0,点151
116.4239578,40.0759362,0,点152
116.4259319,40.0764288,0,点153
116.4260177,40.0753779,0,点154
116.4220266,40.0765273,0,点155
116.4222412,40.0751809,0,点156
116.4295797,40.0755093,0,点157
116.4305668,40.0772169,0,点158
116.4324121,40.0762646,0,点159
116.4320259,40.0755093,0,点160
116.4306526,40.0752137,0,点161
116.4328842,40.0782677,0,点162
116.4298801,40.0789901,0,点163
116.4275627,40.0761004,0,点164
116.4259748,40.0783334,0,点165
116.4230995,40.0778408,0,点166
116.424387,40.0790886,0,点167
